Help me.	എന്നെ സഹായിക്കൂ.
Count to one hundred.	നൂറ് വരെ എണ്ണൂ.
Have you finished it?	നീ അത് തീർത്തോ?
He asked me to dance.	അവൻ എന്നോട് നൃത്തം ചെയ്യാൻ ആവശ്യപ്പെട്ടു.
He sent me a present.	അവനെനിക്കൊരു സമ്മാനം അയച്ചു തന്നു.
I can give it a shot.	എനിക്ക് ഇത് പ്രയോഗിച്ചു നോക്കാന്‍ കഴിയും.
I have a green shirt.	എനിക്ക് ഒരു പച്ച കുപ്പായം ഉണ്ട്.
I need a new bicycle.	എനിക്ക് ഒരു പുതിയ സൈക്കിൾ വേണം.
I need to study math.	എനിക്ക് കണക്ക് പഠിക്കേണ്ടതായിയുണ്ട്.
I think you know Tom.	നിങ്ങള്ക്ക് ടോമിനെ അറിയാം എന്ന് ഞാന്‍ വിചാരിക്കുന്നു.
My clothes are there.	എന്റെ വസ്ത്രങ്ങൾ അവിടെയാണ്.
She likes these cats.	അവൾക്ക് ഈ പൂച്ചകളെ ഇഷ്ടമാണ്.
Someone stole my bag.	ആരോ എന്റെ ബാഗ് മോഷ്ടിച്ചു.
You've misunderstood.	നിങ്ങള്‍ തെറ്റിദ്ധരിച്ചു.
Give it to me, please.	ദയവായി, അതെനിക്കു തരൂ.
He and I are teachers.	അവനും ഞാനും അദ്ധ്യാപകരാണ്.
He began to eat lunch.	അവന്‍ ഊണ് കഴിക്കാന്‍ തുടങ്ങി.
He fell off the horse.	അവൻ കുതിരപ്പുറത്ത് നിന്ന് താഴെ വീണു.
He is always studying.	അവൻ എപ്പോഴും പഠിച്ചു കൊണ്ടിരിക്കും.
He was born in Africa.	അവൻ ആഫ്രിക്കയിലാണ് ജനിച്ചത്.
How was the math test?	കണക്ക് പരീക്ഷ എങ്ങനെയുണ്ടായിരുന്നു?
I can give you a lift.	എനിക്ക് നിങ്ങള്‍ക്ക് ലിഫ്റ്റ്‌ തരാന്‍ കഴിയും.
I have a wooden table.	എനിക്കൊരു തടിമേശയുണ്ട്.
I'm a big fan of golf.	ഞാൻ ഗോൾഫിന്റെ വലിയ ആരാധകനാണ്.
It made me very happy.	അത് എന്നെ വളരെ സന്തോഷവാനാക്കി.
Nobody understands me.	ആരും എന്നെ മനസ്സിലാക്കുന്നില്ല.
She decided not to go.	അവൾ പോകുന്നില്ല എന്ന് തീരുമാനിച്ചു.
They hated each other.	അവര്‍ പരസ്പരം വെറുത്തു.
They settled in Japan.	അവര്‍ ജപ്പാനില്‍ സ്ഥിരതാമസമാക്കി.
What else do you want?	വേറെ എന്താണ് നിനക്ക് വേണ്ടത്?
Where is my newspaper?	എൻറെ വർത്തമാനപത്രം എവിടെയാണ്.
Where is your brother?	നിന്റെ സഹോദരനെവിടെയാണ്?
Will it rain tomorrow?	നാളെ മഴ പെയ്യുമോ?
I am afraid of heights.	എനിക്ക് ഉയരം ഭയമാണ്.
I believe you know Tom.	നിങ്ങള്‍ക്ക് ടോമിനെ അറിയാം എന്ന് ഞാന്‍ വിശ്വസിക്കുന്നു.
I can't sleep at night.	എനിക്ക് രാത്രി ഉറങ്ങാൻ കഴിയുന്നില്ല.
I don't believe in God.	ഞാന്‍ ദൈവത്തില്‍ വിശ്വസിക്കുന്നില്ല.
I have heard the story.	ഞാൻ ഈ കഥ കേട്ടിട്ടുണ്ട്.
I like music very much.	എനിക്ക് സംഗീതം വളരെ ഇഷ്ടമാണ്.
I live with my parents.	ഞാൻ എന്റെ മാതാപിതാക്കളുടെ കൂടെയാണ് ജീവിക്കുന്നത്.
I think we should talk.	നമ്മള്‍ തമ്മില്‍ സംസാരിക്കണം എന്ന് ഞാന്‍ വിചാരിക്കുന്നു.
I will gladly help you.	ഞാന്‍ സന്തോഷത്തോടെ നിങ്ങളെ സഹായിക്കാം.
Nobody came to help me.	ആരും എന്നെ സഹായിക്കാൻ വന്നില്ല.
Please open the bottle.	ദയവായി ഈ കുപ്പി തുറക്കുക.
Please open the window.	ദയവായി ആ ജനാല തുറക്കൂ
That is not your knife.	അത് നിന്റെ കത്തിയല്ല.
This is a wooden table.	ഇതൊരു തടിമേശയാണ്.
We plan to stay a week.	ഞങ്ങൾ ഒരാഴ്ച തങ്ങാനാണ് ആലോചിക്കുന്നത്.
What do you like to do?	നിനക്ക് എന്തു ചെയ്യാനാണ് ഇഷ്ടം.
Don't forget to call me.	എന്നെ വിളിക്കാൻ മറക്കരുത്.
Everyone makes mistakes.	എല്ലാവർക്കും തെറ്റുപറ്റും.
He began to feel afraid.	അവൻ ഭയപ്പെടാൻ തുടങ്ങി.
He is no stranger to me.	അവൻ എനിക്കൊരു അപരിചതനല്ല.
He lay down on his back.	അവന്‍ മലര്‍ന്നു കിടന്നു.
He's writing a book now.	അവൻ ഇപ്പോൾ ഒരു പുസ്തകം എഴുതുകയാണ്.
I sometimes cook dinner.	ഞാൻ ചിലപ്പോൾ അത്താഴം പാകം ചെയ്യും.
I think you can help us.	നിങ്ങള്‍ക്ക് ഞങ്ങളെ സഹായിക്കാന്‍ കഴിയും എന്ന് ഞാന്‍ വിചാരിക്കുന്നു.
Measure twice, cut once.	രണ്ടു തവണ അളക്കൂ, ഒരു തവണ മുറിക്കൂ.
She has attractive eyes.	അവൾക്ക് ആകർഷണീയമായ കണ്ണുകളുണ്ട്.
She might come tomorrow.	അവൾ നാളെ വന്നേക്കും.
This chair is too small.	ഈ കസേര വളരെ ചെറുതാണ്.
What year were you born?	നിങ്ങള്‍ ഏതു വര്‍ഷമാണ് ജനിച്ചത്?
What year were you born?	നിങ്ങള്‍ ഏതു വര്‍ഷം ആണ് ജനിച്ചത്‌ ?
You don't know who I am.	ഞാൻ ആരാണെന്ന് നിനക്കറിയില്ല.
You must read this book.	നിങ്ങള്‍ ഈ പുസ്തകം വായിക്കണം.
Come and see me tomorrow.	എന്നെ നാളെ വന്നു കാണൂ.
English is easy to learn.	ഇംഗ്ലീഷ് പഠിക്കാന്‍ എളുപ്പമാണ്.
He looked at her angrily.	അവൻ അവളെ ദേഷ്യത്തോടെ നോക്കി.
He's greedy and ruthless.	അവന്‍ അത്യാഗ്രഹിയും ദയാരഹിതനും ആണ്.
How do you say this word?	ഈ വാക്ക് എങ്ങനെയാണ് ഉച്ചരിക്കുന്നത്.
I can give Tom a message.	എനിക്ക് ടോമിന് ഒരു മെസ്സേജ് കൊടുക്കാന്‍ കഴിയും.
I don't know how to cook.	എനിക്ക് പാചകം ചെയ്യാന്‍ അറിയില്ല.
I like the way you smile.	എനിക്ക് നീ ചിരിക്കുന്ന രീതി ഇഷ്ടമാണ്.
Mary is quite attractive.	മേരി അതീവ സുന്ദരി ആണ് .
Nobody tells me anything.	ആരും എന്നോടൊന്നും പറയാറില്ല.
Sorry. It's all my fault.	ക്ഷമിക്കണം. എല്ലാം എന്റെ തെറ്റാണ്.
Sugar dissolves in water.	പഞ്ചസാര വെള്ളത്തിൽ അലിയുന്നു.
The cat caught the mouse.	പൂച്ച എലിയെ പിടിച്ചു.
There is no time to lose.	നഷ്ടപ്പെടുത്താൻ സമയമില്ല.
Tom didn't need any help.	ടോമിന് ഒരു സഹായവും ആവശ്യമില്ലായിരുന്നു.
Tom went straight to bed.	ടോം നേരെ ഉറങ്ങാൻ പോയി.
We expect a lot from him.	ഞങ്ങൾ അവനിൽ നിന്നും ഏറെ പ്രതീക്ഷിക്കുന്നു.
We go to school to study.	ഞങ്ങൾ സ്കൂളിലേക്ക് പഠിക്കാനാണ് പോകുന്നത്.
We have very little time.	നമുക്കു വളരെക്കുറച്ചു സമയം മാത്രമേയുള്ളൂ.
What he did wasn't wrong.	അവൻ ചെയ്തത് എന്താണോ അത് തെറ്റല്ല.
Cookie is under the table.	മധുരപലഹാരം മേശക്കു കീഴിൽ ഉണ്ട്.
He can run faster than me.	അവന് എന്നേക്കാൾ വേഗത്തിൽ ഓടാൻ കഴിയും.
He got good marks in math.	അവന് കണക്കിൽ നല്ല മാർക്ക് കിട്ടി.
He ran into the classroom.	അവൻ ക്ലാസ് മുറിയിലേക്ക് ഓടി.
He wants to go to America.	അവന് അമേരിക്കയില്‍ പോകാന്‍ ആഗ്രഹമുണ്ട്.
How many guests are there?	എത്ര അതിഥികളുണ്ട്?
Hunger drove him to steal.	വിശപ്പ് അവനെ മോഷ്ടിക്കാന്‍ പ്രേരിപ്പിച്ചു.
I am going to play tennis.	ഞാൻ ടെന്നിസ് കളിക്കാൻ പോവുകയാണ്.
I don't have any children.	എനിക്ക് കുട്ടികളില്ല.
I got the ticket for free.	എനിക്ക് ടികറ്റ് സൗജന്യമായി ലഭിച്ചു.
I like swimming very much.	എനിക്ക് നീന്തൽ വളരെ ഇഷ്ടമാണ്.
I will give you this book.	ഞാൻ നിനക്ക് ഈ പുസ്തകം തരാം.
My father is a bank clerk.	എന്റെ അച്ഛൻ ഒരു ബാങ്ക് ക്ലാർക്കാണ്.
Park the car in the shade.	കാറ് തണലില്‍ നിര്‍ത്തൂ.
She has a small black dog.	അവള്‍ക്കൊരു ചെറിയ കറുത്ത പട്ടിയുണ്ട്.
Sugar is soluble in water.	പഞ്ചസാര വെള്ളത്തില്‍ ലയിക്കും.
Tell her that I am hungry.	എനിക്ക് വിശക്കുന്നു എന്ന് അവളോട്‌ പറയു.
The cat scratched my hand.	ആ പൂച്ച എന്റെ കൈയിൽ മാന്തി.
The price of meat dropped.	ഇറച്ചിയുടെ വില കുറഞ്ഞു.
The town grew into a city.	ആ പട്ടണം ഒരു നഗരമായ് വളർന്നു.
They did not give up hope.	അവര്‍ പ്രതീക്ഷ കൈവിട്ടില്ല.
They had a baby last week.	കഴിഞ്ഞയാഴ്ച അവര്‍ക്കൊരു കുട്ടിയുണ്ടായി.
Today is Independence Day.	ഇന്ന് സ്വാതന്ത്ര്യദിനമാണ്.
Tom is growing a mustache.	ടോം മീശ വളർത്തുകയാണ്.
Who will be the next pope?	അടുത്ത പോപ്പ് ആരായിരിക്കും?
Have you ever seen a whale?	നിങ്ങള്‍ എപ്പോഴെങ്കിലും ഒരു തിമിംഗലത്തെ കണ്ടിട്ടുണ്ടോ?
He comes here once a month.	അവൻ ഇവിടെ മാസത്തിലൊരിക്കൽ വരും.
He decided to go to France.	അവൻ ഫ്രാൻസിലേക്ക് പോകാൻ തീരുമാനിച്ചു.
He's much younger than Tom.	അവൻ ടോമിനേക്കാൾ വളരെ ചെറുപ്പമാണ്.
I challenged him to a game.	ഞാൻ അവനെ ഒരു കളിക്കായി വെല്ലുവിളിച്ചു.
I leave for Paris tomorrow.	ഞാൻ നാളെ പാരീസിലേക്ക് പുറപ്പെടും.
I think you know the rules.	നിങ്ങള്‍ക്ക് നിയമങ്ങള്‍ അറിയാം എന്ന് ഞാന്‍ വിചാരിക്കുന്നു.
I think you should go home.	നിങ്ങൾ വീട്ടിലേക്കു പോകണം എന്ന് ഞാൻ കരുതുന്നു.
I've read both these books.	ഞാൻ ഈ രണ്ട് പുസ്തകങ്ങളും വായിച്ചിട്ടുണ്ട്.
It is cheaper to go by bus.	ബസ്സില്‍ പോകുന്നതാണ് ലാഭം.
My birthday is on March 22.	എന്റെ ജന്മദിനം മാർച്ച് 22-നാണ്.
My son is taller than I am.	എന്റെ മകന് എന്നേക്കാള്‍ ഉയരമുണ്ട്.
Next Thursday is a holiday.	അടുത്ത വ്യാഴാഴ്ച ഒരു അവധിദിവസമാണ്.
No one could find the cave.	ആർക്കും ഗുഹ കണ്ടെത്താനായില്ല.
Nothing would persuade him.	ഒന്നിനും അവനെ സ്വാധീനിക്കാന്‍ കഴിയുകയില്ല.
The cat slept on the table.	ആ പൂച്ച മേശപ്പുറത്ത് ഉറങ്ങി.
This dictionary isn't mine.	ഈ നിഘണ്ടു എന്റേതല്ല.
This table is made of wood.	ഈ മേശ തടി കൊണ്ട് ഉണ്ടാക്കിയതാണ്.
Vienna is a beautiful city.	വിയന്ന മനോഹരമായ ഒരു നഗരമാണ്.
We will discuss that later.	നമുക്ക് അത് പിന്നെ ചര്‍ച്ച ചെയ്യാം.
Whenever I call, he is out.	ഞാനെപ്പോൾ വിളിക്കുമ്പോഴും, അവൻ പുറത്തായിരിക്കും.
You're smarter than Tom is.	നിങ്ങൾ ടോമിനെക്കാൾ സമർത്ഥനാണ്.
He likes baseball very much.	അവന് ബേസ്ബോൾ വളരെയധികം ഇഷ്ടമാണ്.
I can get you out of prison.	എനിക്ക് നിങ്ങളെ ജയിലില്‍ നിന്നും പുറത്തിറക്കാന്‍ കഴിയും.
I want to be back in Boston.	എനിക്ക് ബോസ്ടനിലേക്ക് തിരിച്ചു വരണം.
I will do anything but this.	ഞാന്‍ ഇതൊഴിച്ച് വേറെ എന്തു വേണമെങ്കിലും ചെയ്യാം.
Questions never hurt anyone.	ചോദ്യങ്ങള്‍ ഇതുവരെ ആരെയും വേദനിപ്പിച്ചിട്ടില്ല.
She married a rich merchant.	അവൾ ഒരു ധനികനായ വ്യാപാരിയെ വിവാഹം ചെയ്തു.
She seems to be a good cook.	അവള്‍ നല്ല ഒരു പാചകക്കാരി ആണെന്ന് തോന്നുന്നു.
That room is not very large.	ആ മുറി അത്ര വലുതല്ല.
That will be enough for now.	ഇപ്പോഴത്തേക്ക് അതു മതിയാകും.
The medicine saved her life.	ആ മരുന്ന് അവളുടെ ജീവന്‍ രക്ഷിച്ചു.
There's no point in waiting.	കാത്തിരുന്നിട്ട് കാര്യമില്ല.
They would never meet again.	അവര്‍ ഒരിക്കലും കണ്ടുമുട്ടുമായിരുന്നില്ല.
This song is familiar to us.	ഈ പാട്ട് ഞങ്ങൾക്ക് സുപരിചിതമാണ്.
Who is your favorite player?	നിന്റെ പ്രിയപ്പെട്ട കളിക്കാരനാരാണ്?
Will you come back tomorrow?	നീ നാളെ തിരിച്ചു വരുമോ?
All men are equal before God.	ദൈവത്തിന് മുമ്പിൽ എല്ലാ മനുഷ്യരും തുല്യരാണ്.
Don't misunderstand my words.	എന്റെ വാക്കുകൾ തെറ്റിദ്ധരിക്കരുത്.
Fish can't live out of water.	മത്സ്യങ്ങൾക്ക് വെള്ളത്തിന് പുറത്ത് ജീവിക്കാൻ സാധിക്കില്ല.
He asked her where she lived.	അവൻ അവൾ എവിടെയാണ് താമസിക്കുന്നത് എന്നു ചോദിച്ചു.
He gave a nice present to me.	അവൻ എനിക്ക് ഒരു നല്ല സമ്മാനം തന്നു.
How does this disease spread?	ഈ രോഗം എങ്ങനെയാണ് പടരുന്നത്?
I am beginning to understand.	ഞാൻ മനസ്സിലാക്കാൻ തുടങ്ങുന്നു.
I believe you know the rules.	നിങ്ങള്‍ക്ക് നിയമങ്ങള്‍ അറിയാം എന്ന് ഞാന്‍ വിശ്വസിക്കുന്നു.
I bought this book yesterday.	ഞാൻ ഈ പുസ്തകം ഇന്നലെയാണ് വാങ്ങിച്ചത്.
I brush my teeth twice a day.	ഞാൻ ഒരു ദിവസത്തിൽ രണ്ടു തവണ പല്ല് തേയ്ക്കും.
I had a bad dream last night.	ഞാൻ ഇന്നലെ രാത്രി ഒരു ദുസ്വപ്നം കണ്ടു.
I have no money in my pocket.	എന്റെ കീശയിൽ കാശില്ല.
I remember seeing him before.	ഞാന്‍ അവനെ മുമ്പ് കണ്ടതായി ഓര്‍ക്കുന്നു.
I thought that he would come.	ഞാന്‍ അവന്‍ വരുമെന്ന് വിചാരിച്ചു.
No one ever saw such a thing.	ആരും അങ്ങനെയൊരു സാധനം കണ്ടിട്ടേയില്ല.
Please write about your home.	ദയവായി നിങ്ങളുടെ വീടിനെ പറ്റി എഴുതുക.
She can't ride a bicycle yet.	അവൾക്കിതു വരെ ഒരു സൈക്കിൾ ഓടിക്കാൻ അറിയില്ല.
She is ignorant of the world.	അവള്‍ക്ക് ലോകവിവരം ഇല്ലായിരുന്നു.
The rainbow has seven colors.	മഴവില്ലിന് ഏഴ് നിറങ്ങളുണ്ട്.
This house has two bathrooms.	ഈ വീട്ടിൽ രണ്ട് കുളിമുറികളുണ്ട്.
Tom doesn't eat meat or eggs.	ടോം മാംസവും മുട്ടയും കഴിക്കാറില്ല.
We cannot play baseball here.	നമുക്കിവിടെ ബേസ് ബോള്‍ കളിയ്ക്കാന്‍ സാധിക്കില്ല.
Who will be elected chairman?	ചെയർമാനായി ആരെയാണ് തെരഞ്ഞെടുക്കാൻ പോകുന്നത്?
You should have come earlier.	നീ നേരത്തെ വരണമായിരുന്നു.
Did you leave the window open?	നീ ജനാല തുറന്നിട്ടിരുന്നോ?
Fish cannot live out of water.	മത്സ്യങ്ങള്‍ക്ക് വെള്ളത്തിന് പുറത്ത് ജീവിക്കാന്‍ സാധിക്കില്ല.
He lives in that yellow house.	അവൻ ആ മഞ്ഞ വീട്ടിലാണ് താമസിക്കുന്നത്.
He was hurt in a car accident.	അവന് ഒരു കാർ അപകടത്തിൽ പരിക്കേറ്റു.
